date,amount,operation_type,category,description,payment_channel
2026-05-29,7600,income,Продажи,Заказ одежды A-1036,Эквайринг
2026-05-31,5200,expense,Аренда,Аренда небольшого склада,Перевод
2026-06-01,17100,income,Продажи,Заказ одежды A-1037,Эквайринг
2026-06-03,21800,income,Продажи,Заказ одежды A-1038,Эквайринг
2026-06-05,12400,income,Продажи,Заказ одежды A-1039,Эквайринг
2026-06-07,28500,income,Продажи,Заказ одежды A-1040,Эквайринг
2026-06-09,9100,income,Продажи,Заказ одежды A-1041,Эквайринг
2026-06-11,19600,income,Продажи,Заказ одежды A-1042,Эквайринг
2026-06-12,98000,expense,Закупки,Крупная закупка капсульной коллекции,Перевод
2026-06-13,38600,expense,Реклама,Резкое увеличение рекламного бюджета,Карта
2026-06-15,14800,income,Продажи,Заказ одежды A-1043,Эквайринг
2026-06-17,23900,income,Продажи,Заказ одежды A-1044,Эквайринг
2026-06-19,4900,expense,Доставка,Курьерская доставка заказов,Перевод
2026-06-20,10600,income,Продажи,Заказ одежды A-1045,Эквайринг
2026-06-21,7200,refund,Возвраты,Возврат заказа A-1034,Эквайринг
2026-06-22,2100,commission,Банковские комиссии,Повышенная комиссия за операции,Счет
2026-06-23,3900,expense,Подписки,CRM и хостинг магазина,Карта
2026-06-24,24000,expense,Зарплаты,Зарплата и премия менеджера,Перевод
2026-06-25,8200,income,Продажи,Заказ одежды A-1046,Эквайринг
2026-06-26,5600,expense,Аренда,Аренда небольшого склада,Перевод
2026-06-27,13500,income,Продажи,Заказ одежды A-1047,Эквайринг
2026-06-28,6800,refund,Возвраты,Возврат заказа A-1039,Эквайринг
2026-06-29,15400,expense,Налоги,Налоговый платеж за квартал,Перевод
2026-06-30,19100,income,Продажи,Заказ одежды A-1048,Эквайринг
